도시코드,도시이름,날씨조회코드
11110 ,서울특별시 종로구,108
11170 ,서울특별시 용산구,108
11710 ,서울특별시 송파구,108
26140 ,부산광역시 서구,159
26170 ,부산광역시 동구,159
26200 ,부산광역시 영도구,159
26230 ,부산광역시 부산진구,159
26290 ,부산광역시 남구,159
26350 ,부산광역시 해운대구,159
26380 ,부산광역시 사하구,159
26440 ,부산광역시 강서구,159
26500 ,부산광역시 수영구,159
26710 ,부산광역시 기장군,159
27110 ,대구광역시 중구,143
27140 ,대구광역시 동구,143
27260 ,대구광역시 수성구,143
28110 ,인천광역시 중구,112
28185 ,인천광역시 연수구,112
28710 ,인천광역시 강화군,201
29140 ,광주광역시 서구,156
30140 ,대전광역시 중구,133
30200 ,대전광역시 유성구,133
31110 ,울산광역시 중구,152
31140 ,울산광역시 남구,152
31170 ,울산광역시 동구,152
31200 ,울산광역시 북구,152
41115 ,경기도 수원시 팔달구,119
41273 ,경기도 안산시 단원구,119
41461 ,경기도 용인시 처인구,119
41480 ,경기도 파주시,99
41500 ,경기도 이천시,203
41610 ,경기도 광주시,119
41650 ,경기도 포천시,98
41670 ,경기도 여주시,203
41800 ,경기도 연천군,98
41820 ,경기도 가평군,202
41830 ,경기도 양평군,202
42110 ,강원도 춘천시,101
42130 ,강원도 원주시,114
42150 ,강원도 강릉시,105
42170 ,강원도 동해시,106
42190 ,강원도 태백시,216
42210 ,강원도 속초시,90
42230 ,강원도 삼척시,106
42720 ,강원도 홍천군,212
42730 ,강원도 횡성군,114
42750 ,강원도 영월군,121
42760 ,강원도 평창군,105
42770 ,강원도 정선군,217
42780 ,강원도 철원군,95
42820 ,강원도 고성군,90
42830 ,강원도 양양군,90
43113 ,충청북도 청주시 흥덕구,131
43114 ,충청북도 청주시 청원구,131
43130 ,충청북도 충주시,127
43150 ,충청북도 제천시,221
43720 ,충청북도 보은군,226
43800 ,충청북도 단양군,221
44131 ,충청남도 천안시 동남구,232
44150 ,충청남도 공주시,239
44180 ,충청남도 보령시,235
44200 ,충청남도 아산시,232
44210 ,충청남도 서산시,129
44230 ,충청남도 논산시,133
44270 ,충청남도 당진시,129
44760 ,충청남도 부여군,236
44770 ,충청남도 서천군,140
44800 ,충청남도 홍성군,177
44810 ,충청남도 예산군,177
44825 ,충청남도 태안군,129
45111 ,전라북도 전주시 완산구,146
45113 ,전라북도 전주시 덕진구,146
45130 ,전라북도 군산시,140
45140 ,전라북도 익산시,140
45180 ,전라북도 정읍시,146
45190 ,전라북도 남원시,247
45710 ,전라북도 완주군,146
45730 ,전라북도 무주군,238
45790 ,전라북도 고창군,251
45800 ,전라북도 부안군,243
46110 ,전라남도 목포시,165
46130 ,전라남도 여수시,168
46150 ,전라남도 순천시,174
46170 ,전라남도 나주시,156
46230 ,전라남도 광양시,266
46710 ,전라남도 담양군,266
46730 ,전라남도 구례군,247
46770 ,전라남도 고흥군,262
46780 ,전라남도 보성군,258
46790 ,전라남도 화순군,156
46800 ,전라남도 장흥군,260
46810 ,전라남도 강진군,259
46820 ,전라남도 해남군,261
46830 ,전라남도 영암군,165
46840 ,전라남도 무안군,165
46870 ,전라남도 영광군,252
46890 ,전라남도 완도군,170
46900 ,전라남도 진도군,268
46910 ,전라남도 신안군,165
47111 ,경상북도 포항시 남구,138
47113 ,경상북도 포항시 북구,138
47130 ,경상북도 경주시,283
47150 ,경상북도 김천시,279
47170 ,경상북도 안동시,136
47190 ,경상북도 구미시,279
47210 ,경상북도 영주시,272
47250 ,경상북도 상주시,137
47280 ,경상북도 문경시,273
47750 ,경상북도 청송군,276
47770 ,경상북도 영덕군,277
47930 ,경상북도 울진군,130
48170 ,경상남도 진주시,192
48220 ,경상남도 통영시,162
48240 ,경상남도 사천시,192
48250 ,경상남도 김해시,253
48270 ,경상남도 밀양시,288
48310 ,경상남도 거제시,294
48740 ,경상남도 창녕군,255
48840 ,경상남도 남해군,168
48850 ,경상남도 하동군,266
48870 ,경상남도 함양군,264
50110 ,제주특별자치도 제주시,184
50130 ,제주특별자치도 서귀포시,184
